sentence,model_output
"11.2.1.7 A user shall be able to set up a functional number on one network, and cancel the    
number from another network.",A user can set up a phone number on one network and cancel it on another.
"11.2.1.8 The  functional  number  shall  remain  valid  as  a  user  roams  from  one  network  to    
another.",The number stays valid when you move between networks.
"11.2.1.9 The functional addressing scheme shall be independent of specific configurations of    
mobile and terminal equipment.",The functional addressing scheme is not tied to specific mobile or terminal equipment settings.
"For example, the functional number of a conductor on 
board  a  particular  train  shall  be  the  same  irrespective  of  whether  the  conductor 
accesses  the  network  through  the  Cab  radio  or  has  a  separate  dedicated  EIRENE 
mobile.","The number on a conductor's badge is the same, no matter how they access the network."
"11.2.1.10It shall be possible to call EIRENE users by functional numbers from a wide range of    
terminals (EIRENE and non-EIRENE).",You can call EIRENE users from many terminals.
"(All such calls will 
be subject to any access restrictions  see section 10.3.)",Calls are subject to access restrictions.
"11.2.1.11The functional addressing scheme should permit calls to be routed from a controller to    
an international train within the control area without reference to any EIRENE system 
other than that providing service to the international train.",Controller sends call directly to international train without using other systems.
"Since the number    
must be independent of networks, each number must be unique across all networks 
(including implementation of EIRENE facilities on public networks).",Each number is different everywhere.
11.2.2.2 The functional number shall consist of numeric characters only.,The number is digits only.
"11.2.2.3 If  alphanumeric  numbers  are  applied  by  a  national  railway,  the  railway  will  be    
responsible for the translation to unique numeric functional numbers compatible with 
the EIRENE specification.",National railways must translate their own numbers into special numbers that match EIRENE rules.
"11.2.3.1 The functional identity of the called user shall be presented to the user initiating a call    
and the functional identity of the initiator shall be presented to the user receiving a call.","The caller's name is shown to the person making the call, and the person being called sees the caller's name."
"11.2.3.3 If the user initiating the call has more than one functional identity, the user shall be    
able to select, prior to call establishment, which functional identity is presented to the 
receiving user.","If a user makes a call and has multiple identities, they can choose which one to show before making the call."
"11.2.3.4 In the case of Cab radio, when a train number is assigned as a functional identity, this    
shall take priority over other Cab radio functional identities, and shall be the functional 
identity for the Cab radio to be displayed to other users.","When a train number is given, it takes priority over others and shows up on the Cab radio."
"11.2.3.5 The functional identity shall be presented to the user in a form which can be readily    
understood (eg driver of train abcd rather than abcd01 or xyz shunting team 3 
rather than xyz03).",The functional identity should be shown to users in a simple way.
"11.3.1     Three  procedures  can  be  identified  for  managing  the  relationship  between  the 
functional number and the telephone number by the mobile user as defined below.",Three ways to manage phone numbers are identified.
"11.3.2.2i It should be possible for the system to prevent certain types of users from registering 
functional numbers that they are not authorised to use, for example: (O)",System can stop unauthorized users from getting functional numbers.
"11.3.2.3 It shall be possible to register up to ten functional numbers to items of equipment    
physically connected to the Cab radio within 30 seconds.",Up to 10 numbers can be registered on a device connected to the Cab radio in 30 seconds.
"11.3.2.4 The  registration  procedure  shall  provide  a  means  to  prevent  mis-allocation  of    
functional numbers during registration.",Registration must not give wrong numbers to anyone.
"11.3.2.6 The system shall provide a means to recover consistent data sets following a system    
failure  during  which  functional  addressing  facilities  are  lost.",The system will help you get your data back after it fails and stops working.
"11.3.3.1 The functional addressing scheme shall be supported by a straightforward procedure    
for deregistration of functional numbers.",Functional numbers will be easily unregistered.
"11.3.3.3 It shall be possible to deregister up to ten functional numbers to items of equipment    
physically connected to the Cab radio within 30 seconds.",You can deregister up to 10 numbers on a radio in 30 seconds.
deregister a functional number which is no longer valid but which has not been  deregistered by the user;,Delete old phone number.
"deregister, by overriding, another user of the same type (eg a driver can deregister  a train number that another driver has forgotten to deregister);",Deregister another user's thing.
"deregister, with one action, all functional numbers associated with the same mobile  (eg the driver deregisters all functions at the end of the journey).",Deregister all phone numbers.
"11.3.4.1 To allow roaming between EIRENE networks, the system shall support a procedure for    
the re-registration of functional numbers after selection of a new network.",The system supports re-registering phone numbers when switching to a new network.
"11.3.4.3 After  automatic  re-registration  is  performed,  the  new  registration  details  shall  be    
displayed to the user.","After re-registration, new details are shown to the user."
"11.4.1     Location dependent addressing shall be provided to route calls for a given function to 
a destination number that is dependent upon the users location.",Calls go to a special number based on where you are.
"11.4.2     The functions to which calls shall be routed based upon the location of the mobile shall 
include: (M)",Calls go to certain functions depending on where the phone is.
"11.4.3     The correspondence between the locations and the destination of the call shall be easily 
re-configurable  to  support  dynamic  changes  in  controller  area  boundaries  (eg 
controller  area  boundaries  will  change  from  peak  to  off-peak  periods  during  the 
working day or over longer periods, areas may change to match changes in railway 
organisation or traffic demand).",The locations and call destinations can be easily changed to support changing boundaries.
"11.4.4     When  operating  with  location  dependent  addressing,  no  manual  action  shall  be 
required to update the system when a mobile moves between locations.","When moving, the system updates automatically."
11.4.5     The location dependent addressing scheme shall be available to all mobiles.,All mobiles can use this address system.
"11.4.7     Where  greater  accuracy  for  location  dependent  addressing  is  required,  additional 
location information may be provided by systems external to EIRENE.","Where needed, more location details can come from outside EIRENE."
"Sources of such 
information may include: (O) 
a)  ground-based signalling systems; 
b)  on-train systems (eg ERTMS/ETCS equipment, balise readers, GPS etc).",Sources of information include ground-based and on-train systems.
"12.1.1     There is a requirement that the EIRENE system can be used as a bearer to support an 
application connected to the radio for exchange of text messages between ground and 
mobile(s) or mobile and ground.","EIRENE must allow text message exchange between ground and mobile, or mobile and ground."
"12.1.2     The aim of this section is to define the features and level of performance required for 
this service in order to ensure interoperability.",This section defines what the service needs to do well so it can work with others.
"However, it is anticipated that individual national railways may have a 
requirement  for  pre-defined  messages,  in  which  case  the  application  should  be 
specified as part of individual national procurements.",Some railways might need special messages.
"12.2.1     It should be possible to transfer text messages between ground and mobile(s) through 
the EIRENE system.",Transfer text messages between landlines and phones using EIRENE.
"12.2.2     In  order  to  ensure  interoperability,  the  service  is  optional  for  the  ground  and 
mandatory for the Cab radio.",The service is optional for the ground but mandatory for the Cab radio.
"12.2.3     If a message is safety related, the safety mechanisms will be included at the application 
level and do not concern the EIRENE system.","If it's about safety, safety features are added to the app, not to EIRENE."
12.3.1     The maximum length of a message segment shall be 96 characters.,A message can be up to 96 characters long.
"13.1.2     This section describes the handling of high priority voice calls for railway operational 
emergencies and does not cover public emergency calls (ie handling of 112 calls).","This part talks about how to handle important phone calls in emergencies on trains, but it doesn't talk about regular emergency calls."
"13.1.4     The type of call initiated shall be determined automatically, based upon the mode of 
operation of the radio.",The type of call is decided by the radio's operation.
"13.1.5     If the mobile is in shunting mode, the emergency call button shall initiate a shunting 
emergency call, otherwise the call shall be a Train emergency call.","If the phone is in shunting mode, it calls for help. Otherwise, it calls for train help."
"13.1.6     The Train emergency call shall be sent to all drivers and controller(s) within an area, 
which  is  pre-defined  to  meet  operational  requirements.",The train emergency call goes to all drivers and controllers in a special area.
"13.1.6i  The appropriate ERTMS/ETCS RBC should be informed when a Train emergency call 
is initiated.",Inform the right RBC when an emergency is called.
"13.2.2.1 A Railway emergency call shall be able to be initiated by using a simple MMI action    
(eg a single MMI action for the Cab and Operational radios).",Use one button to make an urgent train call.
"13.2.2.2 A connection of Railway emergency priority (see section 10.2) shall be established to a    
pre-determined set of receiving mobiles and controller(s).",A railway emergency connection will go to some special phones and controllers.
"13.2.2.3 If the system is not able to connect the call, the system shall automatically keep trying    
to connect the call for 30 seconds.",The system tries to connect the call for 30 seconds if it can't do it at first.
"13.2.2.3i During this period the user shall be provided with an audible and visual indication 
that the system is trying to connect the call.",The system will show a sound and a picture while it tries to make the call.
"13.2.2.3ii  After  the  30  second  period,  if  the  connection  was  unsuccessful,  the  system  shall 
provide another audible and visual indication that it was unable to connect the call.","After 30 seconds, if it doesn't work, show a warning again."
"13.2.2.4 An audible indication of 5 seconds (to be confirmed by trials) shall be provided to    
originating and receiving users that the emergency function has been activated.",An audible signal will be given for 5 seconds to let people know the emergency function is on.
"13.2.2.7 In the event that a train enters the affected area after the warning stage is complete, the    
same audible and visual indications shall be provided.","If a train comes into an affected area after warnings are given, same signs will be shown."
"13.2.3.1 A speech connection shall be established immediately following the warning tone, to    
allow the originator of the emergency call, to give information concerning the nature of 
the emergency.",Establish a phone connection right after the alarm sound so the person who made the emergency call can explain what's happening.
"13.2.3.1i Speech should be possible to allow a controller receiving the warning tone to give 
information.",The controller can get information after hearing the warning tone.
"13.2.3.2 Additionally,  speech  should  be  possible  to  allow  other  mobile  users  receiving  the    
warning tone to give information.",You can also give information.
"13.2.3.3 The information shall be received by the same set of users who received the warning    
tone.",The same people get the information.
"13.2.4.2 If the radio moves out of the area whilst the emergency call is in progress, an audible    
and visual indication of the loss of the call shall be provided to the user.","If the radio leaves the area while you're making an emergency call, it will tell you that you've lost the connection."
"13.3.1     Authorised EIRENE mobiles shall be able to receive a Railway emergency call at any 
time while the mobile is powered up.",Authorised EIRENE mobiles can get railway emergency calls when turned on.
"13.3.2     For  Railway  emergency  calls  initiated  by  a  mobile,  the  controllers  display  will 
indicate:",Mobile emergency calls show controller's display.
"the functional identity of the originating mobile, which includes the following:",The original phone.
"the engine number, if no train number is available; (M)",Engine number if no train number
"the coach number of the leading cab, if neither a train number nor an engine  number is available.",Coach number if not train or engine number.
"13.4.1     For post-incident analysis, it is important that the origination and reception of Railway 
emergency calls by mobiles is confirmed by a message sent to a ground-based central 
location (and also recorded in the on-train recording device).",Confirm emergency call details with a message sent to a central location.
"13.4.4     If the radio loses contact with the network, the mechanism shall commence as soon as 
possible on regaining communications, for up to a maximum of 5 minutes without 
achieving contact.","If the radio loses contact, it will try again as soon as possible, but no longer than 5 minutes."
"13.4.6     For Railway emergency calls received by a mobile, the automatic confirmation message 
of the receiving mobile shall contain: (M)","For railway emergency calls, the receiving mobile sends an automatic confirmation message."
the time at which the call was first received;,The time it was called.
the time at which the call was lost (or terminated);,Call end time
"13.4.7     The  confirmation  message  shall  be  received  at  the  central  location  with  a  99% 
probability of success within 5 minutes of call termination.","The confirmation message will be received at the central location in 5 minutes, almost always."
"13.4.8     The  performance  of  the  confirmation  procedure  shall  not  be  dependent  upon  the 
current use of the mobile and shall not overload the network.","The confirmation procedure should work no matter what you're doing on your phone, and it shouldn't slow down the network."
"14.1.1     Shunting  mode  is  the  term  used  to  describe  the  application  that  will  regulate  and 
control user access to facilities and features in the mobile while it is being used for 
shunting communications.",Shunting mode controls what you can do on your phone when using shunting apps.
"14.1.2     There  is  a  requirement  to  regulate  the  membership  of  shunting  groups  to  prevent 
uncontrolled membership.",Regulate shunting group members.
"14.1.3     During specific shunting operations where the driver is not able to see the way ahead 
and where he is therefore relying on information from another shunting member, a 
link assurance signal is needed to provide reassurance during silent periods that the 
radio link is still established.","When drivers can't see ahead and need help from others, they need a special signal to know their radio connection is working."
"This signal is also employed to provide reassurance that 
this other shunting member is not incapacitated.",This signal checks if the other worker is okay.
"14.2.1     The shunting call shall be a group call and shall have Railway operation priority (see 
section 10.2).",The shunting call is a group call with high railway priority.
"14.2.2     Throughout  the  duration  of  the  shunting  group  call,  it  shall  be  possible  for  any 
member of the shunting group to speak to all other members of the group, using the 
PTT  function (as  described  in  sections  5.2.2.53,  6.2.2.12  and  7.2.2.20),  except  during 
transmission of the link assurance signal.","During a shunting group call, anyone in the group can talk to everyone else using the PTT function, unless they're sending a special signal."
"14.2.2i  During the transmission of the link assurance signal, only the originator of the link 
assurance signal shall be able to speak to all other members using the PTT function.",Only the one who sends the link assurance signal can talk to everyone else using a special button.
"14.2.4     It shall be possible for all mobile members of the shunting group (except the driver) to 
transmit a link assurance signal.",All mobile workers can send a safety signal.
"14.2.5     Within the shunting group, it shall be possible for only one member of the group to 
transmit the link assurance signal at any time.",One member can send a signal at a time within the group.
"14.2.6     Operational  radios  used  for  shunting  shall  enable  the  link  assurance  signal  to  be 
activated and de-activated by the shunting group member.",Operational radios must let shunting team members turn on/off the link assurance signal.
"14.2.7     The link assurance signal should be used to reassure the driver of the integrity of the 
member at the head of the shunting movement.",Use the link assurance signal to show the driver that the member is safe.
"14.2.8     Operational  radios  used  for  shunting  shall  be  able  to  be  switched  between  the 
following two operating modes by a maintenance function: (M)",Operational radios can switch between two modes.
Mode 1: the member is required to continuously press the link assurance signal  button in order to transmit the link assurance signal;,Press the button all the time to send a signal.
Mode 2: the member is required to switch on the link assurance signal and then  periodically press a button in order to transmit the link assurance signal (failure to  do so shall result in the deactivation of the link assurance signal after a predefined  period has elapsed).,Switch on the link assurance signal and press the button often.
"14.2.9     The link assurance signal shall be used to provide an audible indication to all group 
members.",The link assurance signal will make a sound for everyone in the group.
"For the driver, this indicates that the radio link is operational.",The radio link works.
"14.2.11 It  shall  be  possible  for  any  member  of  the  shunting  group  (including  a  driver)  to    
transmit a shunting emergency call to all shunting groups in the area.",Any member can send an urgent message to all shunting teams.
"14.2.12 It shall be possible for all shunting drivers and shunting group members to receive a    
shunting  emergency  call  from  any  equipment  capable  of  taking  part  in  shunting 
communications.",All shunters can get an emergency call from any equipment that helps with shunting.
"The shunting emergency call shall cause the audible link assurance 
signal to be interrupted.",The emergency call will interrupt the warning signal.
14.2.13 It should be possible for the system to record: (O),The system can record.
"14.2.14 If a user, other than the shunting leader, attempts to make another call whilst being an    
active member of a shunting group, the attempt shall be ignored.","If you're not the one leading the shunt, don't try to call again while you're still part of it."
"14.2.15 If  the  radio  is  used  by  the  team  leader  for  a  shunting  group  call  (ie  initiated  the    
shunting  group  call),  switching  the  radio  off  shall  result  in  the  termination  of  the 
shunting group call.","If the team leader uses the radio for a shunting group call, turning it off ends the call."
14.3.1     A shunting group shall be able to consist of the following mobile members: (M),A shunting group can have these people: M
"the shunting driver, who may remain fixed (ie in a shunting area) or may change  one or more times during a working period (ie passenger or freight stations);",The driver can stay or move around.
14.3.2     In addition to the above shunting group members:,Besides those mentioned earlier.
a  controller  shall  be  able  to  be  associated  permanently  or  temporarily with  the  shunting group; (M),A controller can be linked to the shunting group permanently or temporarily.
a  shunting  manager  or  other  person  capable  of  taking  part  in  a  shunting  communication  should  be  able  to  be  temporarily  associated  with  the  shunting  group.,A shunting manager can join the shunting group for a short time.
"14.3.3     It shall only be possible for the shunting leader to communicate with a person external 
to the ongoing shunting communication.",The shunting leader can only talk to someone outside the conversation.
"In the latter case, in order to avoid disturbing a shunting 
movement, the shunting leader should be informed by a visual and audible indication.",Tell the shunting leader ahead of time so they don't get surprised.
The shunting leader can then choose the moment when he takes or rejects the call.,He chooses when to take or reject a call.
"14.3.4     The shunting leader shall then be able to allow the external user to join the shunting 
communication.",The leader can let an outside person join the communication.
"14.3.5     National railways will be responsible for limiting the availability of equipment that is 
capable of taking part in shunting communications to persons that are authorised to 
engage in such communications.",National railways will limit access to special equipment for authorized people.
"14.4.1     The link assurance signal is a means to provide end-to-end confirmation between users 
that a voice communication link remains intact.",The link stays connected.
"This facility is required principally for 
the safe conduct of pushing manoeuvres to assure continuing availability of the radio 
channel while a shunting worker is guiding a train driver.",This place helps keep the radio channel open so a train driver can follow a shunter.
"The  tone  shall  be  of  one  second  duration,  followed  by  an  interval  of  two 
seconds.","The tone will last one second, then there will be a two-second pause."
"14.4.3     In order to fulfil the requirements of some railways, it should be possible to provide an 
alternative means of link assurance indication.",Some railways need a different way to show that links are safe.
"14.4.4     This means will consist of an additional safety device (external to the radio system) 
interposed between the Cab radio and the loudspeaker with the purpose of muting the 
continuous link assurance signal for the drivers convenience.",An extra safety device will be added outside the radio system to mute a continuous sound for driver comfort.
"In this case, the safety 
device  will  alert  the  driver  only  if  the  link  assurance  signal  has  failed  or  if  it  is 
cancelled.",The device alerts the driver only if the signal fails or is cancelled.
"14.4.4i  Operational  radios  used  for  shunting  shall  be  able  to  be  switched  between  the 
following two operating modes by a maintenance function: (M)",Maintenance radios can switch between two modes.
"Mode A: the link assurance signal shall be interrupted, but not cancelled, when the  initiator of the link assurance signal presses the PTT to speak.",The link will stop sending a signal when you press talk.
Mode B: the link assurance signal shall not be interrupted when the initiator of the  link assurance signal presses the PTT to speak.,The link must not stop when someone starts talking.
"14.4.5     The link assurance signal shall be deactivated upon receipt of a shunting emergency 
call.",Deactivate link assurance signal when getting shunting emergency call.
"14.4.6     All members of the shunting group, other than the initiator of the link assurance signal, 
shall be unable to speak during the transmission of the link assurance signal.",All but one member of the shunting group must not talk while a special signal is being sent.
"However, 
they shall be able to initiate a shunting emergency call at any time.",They can start an emergency call anytime.
it shall be possible to modify a shunting groups composition during a working  period.,You can change a group's parts during work hours.
15.1.1     The operational requirement for direct mode is to: (I),Use direct mode directly.
provide short range fall-back communications between train drivers and trackside  personnel in the event of failure of mobile telephony services normally available;,Train drivers talk to people on the tracks if phone service fails.
provide  short  range communications  for  railway  personnel  operating in  remote  areas where no mobile telephony facilities are available.,Provide communication for railway workers in remote areas with no phone service.
"Where  the  facility  is  provided,  the 
following requirements are mandatory.",The facility must follow these rules.
15.2.2     Principal requirements are: (M  see above),Main needs are (see earlier).
a voice only capability that supports the use of the link assurance signal;,Voice only uses link assurance signal.
open  channel  mode  of  operation  such  that  all  users  employing  direct  mode  receive transmissions when in range of the transmitting user;,All users get messages from nearby senders.
"it is sufficient that the user may talk or listen only, but not both.","User can talk or listen, but not both."
a minimum of one channel is to be available for use of direct mode facilities;,One channel must be free for direct mode.
"if more than one channel is provided, there must be a function allowing the user to  manually select the channel;","If many channels are given, let the user choose one."
"where equipment provides both normal and direct mode capability, the user shall  be able to switch between the two modes in a straightforward manner (but not by  accident);","Equipment lets you choose between normal and direct modes easily, but not by mistake."
the user may only select direct mode when the normal mobile telephony services  are not available;,User can choose direct mode if phone service is down.
"controls shall be simple to use, eg:",Controls are easy to use.
"when direct mode is used as a fall-back, an audible and visual indication shall be  provided of normal mobile telephony services returning.","When using direct mode, you will hear and see that regular phone service is back."
"For consistency reasons, all functional requirements not implemented in the SRS 2.3.0 have been removed from this version.",All unimplemented features were removed.
(M) = Mandatory:The requirement shall be respected in every ETCS application.,Respect this rule always.
(O) = Optional:It is not mandatory to implement this function in every ETCS application.,This function does not have to be used in all ETCS applications.
"If implemented, the applicable requirements stated in ETCS SRS and lower level mandatory specifications shall be respected.",Follow rules if you use it.
"Note that the CCS TSI may define specific conditions, where implementation of O functions may be required for safety reasons.",The CCS TSI defines some rules where you must use certain features for safety.
ETCS shall provide the driver with information to allow him to drive the train safely.,ETCS will tell the driver how to drive the train safely.
ETCS shall be able to supervise train and shunting movements.,ETCS can watch trains move.
If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.,"If an RBC supervises, it can stop a traction unit from moving unless allowed by the RBC."
ETCS is required to be functional to a maximum train speed of 500 km/h.,ETCS must work up to 500 km/h.
Level 0: ETCS active for limited train control function; trackside not fitted with any train control system or fitted with a train control system for which no STM is available onboard.,"ETCS is used for some trains, but the tracks don't have a special system to control them."
"Level 1: Basic track to train information via intermittent transmission media, e.g.",Basic track for training info through wireless signals.
"This information can be supported by infill, transmitted via balise, loop or radio.","This info can be sent by fill-in, balloon, loop, or radio."
"Level 2: Basic track to train and train to track information via continuous transmission media, i.e.",Train on a basic track to get information through wires continuously.
Level STM (Specific Transmission Module): Track to train information provided by national system.,National system sends train info to STM.
It shall be possible to implement one or more of the ETCS application levels on a line.,ETCS can be used on a line.
"Trains equipped for ERTMS/ETCS application level 3 shall be able to run on lines equipped with ERTMS/ETCS application level 3, 2, 1 and 0, trains equipped for ERTMS/ETCS application level 2 shall be able to run on lines equipped with ERTMS/ETCS application level 2, 1 and 0 and trains equipped for ERTMS/ETCS application level 1 shall be able to run on lines equipped with ERTMS/ETCS application level 1 and 0.",Trains can run on any line that matches their own ERTMS/ETCS level.
"The driver shall acknowledge the level transitions, if requested from trackside.",Driver says yes if asked.
If the driver does not acknowledge after the transition the brake shall be applied.,"Driver doesn't say okay, apply brakes."
"If the driver acknowledges afterwards, the brake can be released","If he says okay, let go of the brake."
ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems.,ETCS must work well with existing national systems without causing problems or being affected by them.
Any transition which occurs while the train is moving shall in principle occur automatically.,"Train moves, it works."
"Transitions which occur while the train is stationary, shall be initiated automatically or manually as appropriate.","Train stops, transitions happen."
"If, as a result of an automatic transition, except for transitions to and from National Operation (STM), the responsibility for the driver increases, the ETCS shall seek an acknowledgement from the driver, whether the train is stationary or not.","If the driver's job gets harder because of a special kind of switch, ETCS will ask the driver to confirm, no matter if the train is stopped or moving."
"For transitions to and from National Operation (STM) the ETCS shall request, an acknowledgement by the driver.",ETCS asks for driver's okay.
"In case the transition has to be acknowledged and the driver fails to acknowledge as required, the ETCS shall initiate a brake application","If the driver doesn't respond, ETCS will apply the brakes."
"If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.",Train goes up high if it can.
"If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.",Train stops if it goes up/down and isn't ready.
The ETCS on-board shall be capable of receiving National values from the trackside to adapt to National requirements,ETCS must receive national values from tracks to follow national rules.
Once received onboard the national values shall remain valid even if the onboard equipment is switched off,"Values stay valid after being on a ship, even if it's turned off."
"If the on-board has no valid national values for the current location, default values shall be used by the onboard equipment.","If there are no valid values, use default ones."
Train data shall be entered before the on-board ETCS equipment allows train movement.,Enter data before moving the train.
The driver shall be able to select Train Data Entry on the DMI.,The driver can choose Train Data Entry on the DMI.
Entering or overwriting data manually by the driver shall be possible but only when stationary.,Driver can enter data only when stopped.
The driver shall be able to consult train data when the train is stationary or moving.,Driver can look at train info while it's stopped or going.
Current train data shall be stored (except at transition to shunting) in the ETCS equipment until the traction unit is not operative.,Train data stays in ETCS until the engine stops working.
Stored train data shall be offered to the driver to be confirmed when Data Entry starts.,Data will be shown to the driver to confirm before starting entry.
"This may require additional items, not required for ETCS, to be entered.",More things might need to be added.
"Following successful completion of Train Data Entry, the driver shall be able to perform shunting movements or train movements.","After completing data entry, the driver can move trains."
If the onboard fails to contact the RBC when awakening the driver shall be asked to enter the RBC contact details,"If onboard fails, ask driver for RBC contact details."
Transfer to Shunting on driver’s selection shall only be possible when stationary.,Transfer to shunting only happens when stopped.
To prevent unauthorised use of the function permission shall be obtained from the RBC if the train is operating under the control of the RBC.,Get permission from RBC if train is controlled by RBC.
Permission received shall be indicated to the driver.,Permission will be told to the driver.
"It shall be possible to manually select Shunting from Stand By operation, Full Supervision operation or Partial Supervision operation","You can choose Shunting from three options: Stand By, Full Supervision, and Partial Supervision."
"It shall be possible to apply the train trip function, if the shunting movement passes a signal showing ""danger for shunting"".","The train can move if it sees a ""danger"" sign."
Exit from Shunting shall only be possible when the train is stationary.,Train must stop before you can leave.
Exit from Shunting shall take place when the driver selects exit from shunting.,Leave shunting when you choose to leave.
If acknowledgement is specified the driver shall acknowledge transfer from Full Supervision to Partial Supervision within 5 seconds,Driver must say okay in 5 seconds if told to do so.
This ceiling speed shall not be shown continually on the DMI but may be shown momentarily when selected by the driver.,The ceiling speed will only show briefly when the driver chooses to see it.
"The train shall leave Partial Supervision when the trainborne equipment is not operative any longer, when Shunting is selected or when Full Supervision is available.",Train leaves when equipment breaks down or Shunting starts or Full Supervision is ready.
It shall be possible to order a train trip when passing a stop signal,You can buy a train ticket at a red light.
Transferring to Full Supervision shall occur automatically when a movement authority and all other necessary information is received through track-to-train transmission.,"When we get the right papers and info, it will switch to full supervision on its own."
It shall be possible for the trackside to ask a driver for confirmation about the occupancy of the track ahead before sending a Full Supervision movement authority.,The trackside can ask the driver if the track is clear before giving permission to move.
"The trainborne equipment shall remain in Full Supervision until the trainborne equipment is not active any longer, when Shunting is selected or when Partial Supervision information is received.",The equipment stays under control until it's turned off or shunting starts.
"When the ETCS trainborne equipment is isolated, the system shall not show any ETCS information other than the fact that the system is isolated.","The system shows nothing except ""isolated""."
This may mean displaying the information shown by the national system.,Show national info.
Unfitted operation shall be possible if ordered by trackside,Operation is allowed if told by a trackside person.
Unfitted operation shall be possible if selected by the driver at start up,Driver can choose it at startup.
The onboard shall be capable to switch to another ETCS status when transmitted from trackside,Onboard can change ETCS status if sent from trackside.
It shall be possible to send information on adhesion conditions from trackside.,Send info about sticking conditions from the side of the track.
"It shall also be possible, to allow the driver to change the adhesion conditions; in this case information from trackside has priority.","Driver can change settings if needed, and track info is more important then."
The trackside shall be able to send information for the calculation of speed profiles.,Trackside can send info for speed profiles.
"If track data at least to the location where the relevant movement authority ends are not available on-board, the movement authority shall be rejected.",No track data is available so reject the movement authority.
"The ETCS trainborne equipment shall supervise the end of movement authority, if this information is available on-board.",ETCS trains check for permission to stop if they have that info.
The target distance to be displayed on the DMI shall be based on the most restrictive braking curve.,DMI shows shortest stopping distance.
"Together with the movement authority, the on board shall be able to receive one or more time-out(s) for certain sections of the movement authority, and shorten the movement authority accordingly when a time out expires.",The on board can get breaks from the movement authority and make it shorter when needed.
Supervision of driving into a section of track which could be occupied (On Sight operation),Watch for cars on the tracks.
"Using train data and infrastructure data, braking curves shall be calculated taking into account the target information but not the location of vehicles occupying the track.",Use old train info to calculate brake curves without knowing where cars are.
"The train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the DMI unless selected by the driver.",The train must go slow enough and only show its speed if the driver wants it to.
The target distance shall not be shown on the DMI unless selected by the driver.,DMI shows target distance only if driver chooses.
"On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear",The driver can check if the road is clear before going further.
"When changing to a lower speed level, the front end of the train shall respect the dynamic train speed profile.",Train slows down according to its own speed plan.
When changing to a higher speed level the rear end of the train shall respect the static train speed profile.,Train slows down at higher speeds.
It shall be possible to define certain locations (e.g.,Some places can be defined.
tunnels) where speed increase is related to the front of the train.,Tunnels make trains go faster at the front.
The braking curves shall ensure that the train complies with its speed requirements.,The brakes will make sure the train goes slow enough.
Where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point.,Train stops behind danger point if brake not fully applied.
If the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,The train stops before danger.
"the time for ""route releasing"" of the overlap, the release speed calculation shall be based on the distance to the danger point (if calculated on-board).",Release speed is based on distance to danger point if calculated on board.
The ETCS trainborne equipment shall be able to determine the location of the entire train.,ETCS train equipment must know where the whole train is.
"On lines fitted with RBC, the ETCS trainborne equipment shall be able to transmit the location of the entire train to the RBC.",The equipment on the train sends its location to the RBC.
The indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of ETCS.,The sign will let you know how fast to go so you don't get a warning or help from ETCS.
The driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed.,The driver must know how far away the next brake point is and what speed is allowed.
This shall be shown to the driver in a way that is understandable and logical.,Show it to the driver so they can understand.
Visual and acoustic warnings to the driver about possible intervention from ETCS shall be given to enable the driver to react and avoid intervention.,Give driver warning before ETCS helps them avoid it.
"The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside.",Driver can choose language for messages from trackside.
"Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec.",Give a warning to the driver at least 5 seconds before entering the braking curve.
"If the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin, the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake","If the train goes too fast, it will stop and the driver can let off the brakes."
The driver shall be able to release an ETCS emergency brake application when stationary.,Driver can stop car when stopped.
"If decided by a national value, the driver may release the ETCS emergency brake when the actual speed is below the permitted speed.",Driver can release brake if going slow enough.
"When the traction unit has come to a standstill, the driver shall be able to release the emergency brake.","When stopped, driver can release emergency brake."
After releasing the emergency brake ETCS will provide the supervision appertaining when roll away protection was initiated,ETCS provides supervision after releasing the emergency brake.
When using more than one traction unit this function shall be disabled in all but the leading traction unit.,Use only one traction unit when there are many.
Information shall be recorded to an accuracy which enables a clear view of the functioning of ETCS and way the traction unit has been driven.,Information will be written down accurately so we can see how ETCS works and how the train was driven.
"Data to enable investigation of accidents need only be stored for at least 24 hours, and shall be very detailed.",Data must be kept for 24 hours with lots of details.
